Date,Daily % Change,Cumulative Change
02/01/2025,0.98%,0
03/01/2025,1.05%,0.98%
06/01/2025,0.15%,2.03%
07/01/2025,0.39%,2.18%
08/01/2025,-0.16%,2.57%
09/01/2025,-0.94%,2.41%
10/01/2025,0.44%,1.47%
13/01/2025,-0.54%,1.91%
14/01/2025,1.01%,1.37%
15/01/2025,0.46%,2.38%
16/01/2025,0.59%,2.84%
17/01/2025,1.04%,3.43%
20/01/2025,-0.38%,4.47%
21/01/2025,-0.14%,4.09%
22/01/2025,-0.20%,3.95%
23/01/2025,-1.47%,3.75%
24/01/2025,0.15%,2.28%
27/01/2025,0.19%,2.43%
28/01/2025,-3.92%,2.62%
29/01/2025,1.42%,-1.30%
30/01/2025,0.23%,0.12%
31/01/2025,1.91%,0.35%
03/02/2025,-2.04%,2.26%
04/02/2025,0.77%,0.22%
05/02/2025,2.15%,0.99%
06/02/2025,0.35%,3.14%
07/02/2025,-0.18%,3.49%
10/02/2025,-0.75%,3.31%
11/02/2025,-0.82%,2.56%
12/02/2025,-1.12%,1.74%
13/02/2025,1.23%,0.62%
14/02/2025,-0.14%,1.85%
17/02/2025,1.03%,1.71%
18/02/2025,-1.56%,2.74%
19/02/2025,-1.52%,1.18%
20/02/2025,0.23%,-0.34%
21/02/2025,-0.08%,-0.11%
24/02/2025,-2.05%,-0.19%
25/02/2025,-1.02%,-2.24%
26/02/2025,-1.56%,-3.26%
27/02/2025,0.48%,-4.82%
28/02/2025,-3.48%,-4.34%
03/03/2025,1.94%,-7.82%
04/03/2025,-2.29%,-5.88%
05/03/2025,-0.01%,-8.17%
06/03/2025,1.05%,-8.18%
07/03/2025,-0.90%,-7.13%
10/03/2025,-0.27%,-8.03%
11/03/2025,-3.30%,-8.30%
12/03/2025,0.55%,-11.60%
13/03/2025,1.52%,-11.05%
14/03/2025,2.34%,-9.53%
17/03/2025,2.26%,-7.19%
18/03/2025,0.84%,-4.93%
19/03/2025,-0.36%,-4.09%
20/03/2025,0.47%,-4.45%
21/03/2025,0.06%,-3.98%
24/03/2025,-0.97%,-3.92%
25/03/2025,0.57%,-4.89%
26/03/2025,-0.38%,-4.32%
27/03/2025,-0.62%,-4.70%
28/03/2025,-0.97%,-5.32%
31/03/2025,-3.22%,-6.29%
01/04/2025,-1.05%,-9.51%
02/04/2025,-2.45%,-10.56%
03/04/2025,-2.70%,-13.01%
04/04/2025,-4.49%,-15.71%
07/04/2025,-7.00%,-20.20%
08/04/2025,3.15%,-27.20%
09/04/2025,-6.98%,-24.05%
10/04/2025,9.36%,-31.03%
11/04/2025,-0.91%,-21.67%
14/04/2025,2.94%,-22.58%
15/04/2025,1.60%,-19.64%
16/04/2025,-1.72%,-18.04%
17/04/2025,2.21%,-19.76%
18/04/2025,,-17.55%
21/04/2025,,-17.55%
22/04/2025,-2.55%,-17.55%
23/04/2025,3.69%,-20.10%
24/04/2025,2.61%,-16.41%
25/04/2025,2.17%,-13.80%
28/04/2025,0.27%,-11.63%
29/04/2025,5.04%,-11.36%
30/04/2025,-0.89%,-6.32%
01/05/2025,-1.15%,-7.21%
02/05/2025,1.44%,-8.36%
05/05/2025,-1.05%,-6.92%
06/05/2025,0.08%,-7.97%
07/05/2025,1.91%,-7.89%
08/05/2025,0.32%,-5.98%
09/05/2025,0.03%,-5.66%
12/05/2025,1.33%,-5.63%
13/05/2025,1.62%,-4.30%
14/05/2025,-0.16%,-2.68%
15/05/2025,-1.49%,-2.84%
16/05/2025,0.49%,-4.33%
19/05/2025,-3.46%,-3.84%
20/05/2025,0.10%,-7.30%
21/05/2025,0.43%,-7.20%
22/05/2025,0.09%,-6.77%
23/05/2025,1.85%,-6.68%
26/05/2025,1.48%,-4.83%
27/05/2025,-0.09%,-3.35%
28/05/2025,-0.02%,-3.44%
29/05/2025,-0.36%,-3.46%
30/05/2025,-0.31%,-3.82%
02/06/2025,-2.12%,-4.13%
03/06/2025,-0.46%,-6.25%
04/06/2025,3.80%,-6.71%
05/06/2025,3.08%,-2.91%
06/06/2025,-0.76%,0.17%
09/06/2025,-0.61%,-0.59%
10/06/2025,0.80%,-1.20%
11/06/2025,-0.22%,-0.40%
12/06/2025,-0.51%,-0.62%
13/06/2025,-1.22%,-1.13%
16/06/2025,2.98%,-2.35%
17/06/2025,0.89%,0.63%
18/06/2025,-0.29%,1.52%
19/06/2025,-1.42%,1.23%
20/06/2025,-1.47%,-0.19%
23/06/2025,-1.32%,-1.66%
24/06/2025,1.04%,-2.98%
25/06/2025,-1.02%,-1.94%
26/06/2025,1.40%,-2.96%
27/06/2025,3.22%,-1.56%
30/06/2025,-0.85%,1.66%
01/07/2025,-0.17%,0.81%
02/07/2025,0.32%,0.64%
03/07/2025,2.01%,0.96%
04/07/2025,-0.50%,2.97%
07/07/2025,-2.73%,2.47%
08/07/2025,1.00%,-0.26%
09/07/2025,-0.17%,0.74%
10/07/2025,0.24%,0.57%
11/07/2025,1.88%,0.81%
14/07/2025,1.84%,2.69%
15/07/2025,0.09%,4.53%
16/07/2025,0.76%,4.62%
17/07/2025,-0.07%,5.38%
18/07/2025,2.54%,5.31%
