Date,Daily % Change,Cumulative Change
02/01/2023,0.86%,0
03/01/2023,-0.48%,0.86%
04/01/2023,1.80%,0.37%
05/01/2023,1.79%,2.18%
06/01/2023,1.91%,3.97%
07/01/2023,1.32%,5.88%
10/01/2023,-1.65%,7.19%
11/01/2023,1.39%,5.55%
12/01/2023,0.17%,6.93%
13/01/2023,0.45%,7.11%
14/01/2023,1.02%,7.56%
17/01/2023,-1.79%,8.58%
18/01/2023,0.32%,6.79%
19/01/2023,0.46%,7.11%
20/01/2023,0.76%,7.57%
21/01/2023,0.45%,8.33%
24/01/2023,-0.01%,8.78%
25/01/2023,-0.45%,8.77%
26/01/2023,-0.64%,8.32%
27/01/2023,-0.39%,7.68%
27/01/2023,-0.44%,7.29%
28/01/2023,0.00%,6.86%
31/01/2023,-0.45%,6.86%
01/02/2023,1.90%,6.40%
02/02/2023,-0.80%,8.30%
03/02/2023,-2.17%,7.50%
04/02/2023,1.06%,5.33%
07/02/2023,0.00%,6.39%
08/02/2023,-0.39%,6.39%
09/02/2023,0.00%,6.00%
10/02/2023,-0.33%,6.00%
11/02/2023,0.04%,5.67%
14/02/2023,-0.24%,5.71%
15/02/2023,0.39%,5.47%
16/02/2023,-0.84%,5.86%
17/02/2023,0.43%,5.02%
18/02/2023,1.26%,5.45%
21/02/2023,0.63%,6.71%
22/02/2023,0.59%,7.34%
23/02/2023,-0.62%,7.92%
24/02/2023,-5.40%,7.30%
25/02/2023,0.59%,1.90%
28/02/2023,2.48%,2.48%
01/03/2023,1.11%,4.96%
02/03/2023,-0.29%,6.07%
03/03/2023,-0.68%,5.79%
04/03/2023,0.06%,5.11%
07/03/2023,-1.27%,5.16%
08/03/2023,0.00%,3.89%
09/03/2023,-2.89%,3.89%
10/03/2023,-0.43%,1.00%
11/03/2023,-2.22%,0.57%
14/03/2023,0.49%,-1.65%
15/03/2023,-0.82%,-1.16%
16/03/2023,1.41%,-1.98%
17/03/2023,1.46%,-0.58%
18/03/2023,0.35%,0.88%
21/03/2023,0.00%,1.23%
22/03/2023,-1.21%,1.23%
23/03/2023,-0.18%,0.02%
24/03/2023,0.39%,-0.16%
25/03/2023,-0.53%,0.23%
28/03/2023,-0.16%,-0.30%
29/03/2023,1.22%,-0.46%
30/03/2023,1.14%,0.77%
31/03/2023,0.17%,1.91%
01/04/2023,0.67%,2.08%
04/04/2023,2.03%,2.75%
05/04/2023,-0.64%,4.78%
06/04/2023,2.17%,4.14%
07/04/2023,1.08%,6.31%
11/04/2023,0.63%,7.39%
12/04/2023,1.85%,8.02%
13/04/2023,-0.02%,9.87%
14/04/2023,-0.18%,9.86%
15/04/2023,1.27%,9.67%
18/04/2023,-0.36%,10.94%
19/04/2023,-0.05%,10.58%
20/04/2023,0.17%,10.53%
21/04/2023,-1.02%,10.71%
22/04/2023,0.09%,9.69%
25/04/2023,0.00%,9.78%
26/04/2023,1.28%,9.78%
27/04/2023,-1.09%,11.06%
28/04/2023,-0.60%,9.97%
29/04/2023,-0.41%,9.38%
02/05/2023,0.16%,8.96%
03/05/2023,1.15%,9.13%
04/05/2023,-1.38%,10.28%
05/05/2023,-0.45%,8.90%
06/05/2023,0.79%,8.45%
09/05/2023,-1.23%,9.24%
10/05/2023,-0.80%,8.01%
11/05/2023,0.07%,7.21%
12/05/2023,0.20%,7.28%
13/05/2023,0.83%,7.48%
16/05/2023,0.78%,8.31%
