Date,Daily % Change,Cumulative Change
03/01/2023,0.34%,0
04/01/2023,-3.00%,0.34%
05/01/2023,-0.27%,-2.66%
06/01/2023,0.50%,-2.93%
07/01/2023,2.99%,-2.43%
10/01/2023,0.22%,0.56%
11/01/2023,0.80%,0.78%
12/01/2023,-0.04%,1.58%
13/01/2023,2.11%,1.54%
14/01/2023,1.47%,3.65%
17/01/2023,1.47%,5.12%
18/01/2023,-0.50%,6.59%
19/01/2023,-0.53%,6.09%
20/01/2023,-1.17%,5.56%
21/01/2023,1.34%,4.39%
24/01/2023,1.69%,5.73%
25/01/2023,0.20%,7.42%
26/01/2023,0.42%,7.62%
27/01/2023,0.15%,8.04%
27/01/2023,0.17%,8.19%
28/01/2023,-0.05%,8.36%
31/01/2023,-1.17%,8.31%
01/02/2023,2.68%,7.14%
02/02/2023,2.19%,9.82%
03/02/2023,1.52%,12.01%
04/02/2023,-0.09%,13.53%
07/02/2023,-0.93%,13.44%
08/02/2023,1.32%,12.51%
09/02/2023,-1.39%,13.83%
10/02/2023,-0.26%,12.44%
11/02/2023,-0.45%,12.18%
14/02/2023,1.57%,11.73%
15/02/2023,1.35%,13.30%
16/02/2023,1.16%,14.65%
17/02/2023,-0.40%,15.81%
18/02/2023,-1.13%,15.41%
21/02/2023,-1.16%,14.28%
22/02/2023,-2.69%,13.12%
23/02/2023,0.06%,10.43%
24/02/2023,2.09%,10.49%
25/02/2023,-0.49%,12.58%
28/02/2023,1.38%,12.09%
01/03/2023,1.00%,13.47%
02/03/2023,2.05%,14.47%
03/03/2023,0.05%,16.52%
04/03/2023,2.99%,16.57%
07/03/2023,-1.20%,19.56%
08/03/2023,-0.04%,18.36%
09/03/2023,0.82%,18.32%
10/03/2023,-2.50%,19.14%
11/03/2023,-3.17%,16.64%
14/03/2023,-1.60%,13.47%
15/03/2023,2.50%,11.87%
16/03/2023,-2.64%,14.37%
17/03/2023,2.95%,11.73%
18/03/2023,-1.47%,14.68%
21/03/2023,1.78%,13.21%
22/03/2023,1.72%,14.99%
23/03/2023,-0.90%,16.71%
24/03/2023,1.30%,15.81%
25/03/2023,-0.25%,17.11%
28/03/2023,0.48%,16.86%
29/03/2023,-0.19%,17.34%
